CNP0287208.1 | C[C@H](O)C(=O)N[C@H](C)C(=O)O | C3
CNP0270282.3 | CC(=O)N[C@@H](CS)C(N)=O | C2
CNP0140466.1 | CC(=O)N[C@@H](CSCc1c(C)c(=O)n2c(=O)c(C)c(C)n12)C(N)=O | C2
CNP0074316.1 | COCCOC(=O)NCC(N)=O | C4
CNP0080884.0 | NCC(=O)O | C4
CNP0080884.0 | NCC(=O)O | C2
CNP0157778.2 | CC(=O)N[C@H](CS)C(N)=O | C5
CNP0157778.2 | CC(=O)N[C@H](CS)C(N)=O | C2
CNP0136295.2 | CC(=O)N[C@@H](CSSC[C@H](NC(C)=O)C(N)=O)C(N)=O | C2
CNP0136295.2 | CC(=O)N[C@@H](CSSC[C@H](NC(C)=O)C(N)=O)C(N)=O | C2
CNP0287208.2 | C[C@H](NC(=O)[C@@H](C)O)C(=O)O | C3
CNP0157778.1 | CC(=O)N[C@H](CS)C(N)=O | C5
CNP0157778.1 | CC(=O)N[C@H](CS)C(N)=O | C2
CNP0574655.1 | N=C(N)NCCC[C@H](N)C(N)=O | C2
CNP0177814.0 | CC(O)C(=O)NC(C)C(=O)NC(=O)CC(N)CC(=O)NC(CCCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN)C(=O)NC(C)C(=O)NC(C)C(=O)O | C3
CNP0085030.1 | C[C@H](NC(=O)[C@@H](C)O)C(=O)N[C@H](CCC(=O)O)C(=O)O | C3
CNP0037396.1 | COC(=O)CN | C6
CNP0270282.1 | CC(=O)N[C@@H](CS)C(N)=O | C2
CNP0136295.1 | CC(=O)N[C@@H](CSSC[C@@H](NC(C)=O)C(N)=O)C(N)=O | C2
CNP0136295.1 | CC(=O)N[C@@H](CSSC[C@@H](NC(C)=O)C(N)=O)C(N)=O | C2
CNP0144357.2 | CCC(=O)N[C@@H](CSCc1c(C)c(=O)n2c(=O)c(C)c(C)n12)C(N)=O | C2
CNP0555554.0 | O=C(O)CCC(NC(=O)C(CCC(=O)O)OP(=O)(O)O)C(=O)O | C5
CNP0165416.1 | NC(=O)NCCC[C@H](N)C(N)=O | C2
CNP0157778.7 | CC(=O)N[C@H](CS)C(N)=O | C5
CNP0157778.7 | CC(=O)N[C@H](CS)C(N)=O | C2
CNP0085949.1 | CC(=O)N[C@@H](CC(N)=O)C(N)=O | C5
CNP0484957.0 | O=C(O)CCC(OP(=O)(O)O)C(=O)NC(CC(=O)O)C(=O)O | C5
CNP0538301.1 | C[C@H](NC(=O)[C@@H](C)O)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H](N)C(=O)O)C(=O)O)C(=O)O | C3
CNP0083508.2 | C[C@H](NC(=O)[C@@H](C)O)C(=O)O | C3
CNP0220326.1 | NC(=O)[C@@H](N)CS | C2
CNP0265074.1 | COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(/C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(\C)C(=O)NC(=C(SC[C@H](NC(C)=O)C(N)=O)C1=O)C2=O | C2
CNP0157778.4 | CC(=O)N[C@H](CS)C(N)=O | C5
CNP0157778.4 | CC(=O)N[C@H](CS)C(N)=O | C2
CNP0528328.0 | O=C(O)CCC(OP(=O)(O)O)C(=O)NC(CC(=O)O)C(=O)O | C5
CNP0574655.2 | N=C(N)NCCC[C@H](N)C(N)=O | C2
CNP0157778.3 | CC(=O)N[C@H](CS)C(N)=O | C5
CNP0157778.3 | CC(=O)N[C@H](CS)C(N)=O | C2
CNP0083508.1 | C[C@H](NC(=O)[C@@H](C)O)C(=O)O | C3
CNP0247161.2 | CC[C@H](C)CCCCCCC[C@H](C)/C=C(C)/C=C/C(=O)NCC(N)=O | C2
CNP0270282.2 | CC(=O)N[C@@H](CS)C(N)=O | C2
CNP0247161.1 | CCC(C)CCCCCCCC(C)/C=C(C)/C=C/C(=O)NCC(N)=O | C2
CNP0270282.4 | CC(=O)N[C@@H](CS)C(N)=O | C2
CNP0426948.1 | CC(=O)N[C@@H](CS)C(N)=O | C3
CNP0426948.1 | CC(=O)N[C@@H](CS)C(N)=O | C2
CNP0157778.5 | CC(=O)N[C@H](CS)C(N)=O | C5
CNP0157778.5 | CC(=O)N[C@H](CS)C(N)=O | C2
CNP0157778.6 | CC(=O)N[C@H](CS)C(N)=O | C5
CNP0157778.6 | CC(=O)N[C@H](CS)C(N)=O | C2
CNP0144357.1 | CCC(=O)N[C@@H](CSCc1c(C)c(=O)n2c(=O)c(C)c(C)n12)C(N)=O | C2
CNP0085030.2 | C[C@H](NC(=O)[C@@H](C)O)C(=O)N[C@H](CCC(=O)O)C(=O)O | C3
